stage,user_raw_input,extracted_value
INJURIES,My twisted ankle hurts sometimes,twisted ankle
ALLERGIES,lactose intolerant,lactose intolerant
GREETING,I'm ready,yes
INJURIES,I have a tennis elbow,tennis elbow
DAYS,About 6 days,6
HEIGHT,I am 193 centimeters,193
CONSENT,Nope,no
WEIGHT,I am 225 lbs,225
INJURIES,I have a twisted ankle,twisted ankle
AGE,27,27
EQUIPMENT,bodyweight,bodyweight
DAYS,I have 2 days free,2
EQUIPMENT,I only have bodyweight,bodyweight
INJURIES,Dealing with bad knee,bad knee
CONFIRMATION,I need to change something,no
EQUIPMENT,Just resistance bands,resistance bands
DAYS,I have 2 days free,2
DAYS,About 4 days,4
WEIGHT,Around 263,263
DAYS,About 2 days,2
AGE,I just turned 59,59
ALLERGIES,I'm allergic to vegans,vegan
EQUIPMENT,bodyweight,bodyweight
LEVEL,Pretty much a intermediate,intermediate
GREETING,Nah,no
HEIGHT,154,154
GOAL,Looking to get shredded,get shredded
GOAL,I want to endurance,endurance
GREETING,Give me a minute,no
DAYS,6 days,6
INJURIES,bad knee,bad knee
EQUIPMENT,I have access to resistance bands,resistance bands
CONFIRMATION,I need to change something,no
AGE,I just turned 65,65
GOAL,tone up,tone up
DAYS,I have 6 days free,6
WEIGHT,Around 111,111
INJURIES,No injuries,none
GREETING,I'm ready,yes
EQUIPMENT,dumbbells,dumbbells
EQUIPMENT,Just dumbbells,dumbbells
LEVEL,Just a beginner,beginner
WEIGHT,I am 108 lbs,108
CONSENT,Okay,yes
GREETING,Yes,yes
EQUIPMENT,Just home gym,home gym
CONFIRMATION,No,no
INJURIES,Dealing with twisted ankle,twisted ankle
WEIGHT,I am 212 lbs,212
GREETING,Give me a minute,no
INJURIES,Dealing with tennis elbow,tennis elbow
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
EQUIPMENT,I only have full gym,full gym
CONFIRMATION,No,no
INJURIES,lower back pain,lower back pain
GOAL,get shredded,get shredded
LEVEL,I'd say beginner,beginner
WEIGHT,I weigh 181 lbs,181
ALLERGIES,No allergies,none
ALLERGIES,I'm allergic to glutens,gluten
GREETING,Yes,yes
INJURIES,I have a bad knee,bad knee
DAYS,I can do 3 days a week,3
INJURIES,Dealing with shoulder impingement,shoulder impingement
EQUIPMENT,I have access to kettlebells,kettlebells
GREETING,Not yet,no
LEVEL,I am a beginner,beginner
AGE,I'm 52,52
LEVEL,Pretty much a beginner,beginner
CONSENT,Nah,no
CONSENT,Sure,yes
CONSENT,Nah,no
INJURIES,I have a twisted ankle,twisted ankle
AGE,I just turned 42,42
WEIGHT,I am 300 lbs,300
INJURIES,shoulder impingement,shoulder impingement
AGE,I am 25 years old,25
INJURIES,Dealing with bad knee,bad knee
CONFIRMATION,Looks correct,yes
INJURIES,Dealing with bad knee,bad knee
HEIGHT,About 173 cm,173
CONSENT,Okay,yes
HEIGHT,193,193
CONFIRMATION,Go ahead,yes
CONSENT,I would rather not,no
AGE,I am 19 years old,19
GOAL,Mainly to lose weight,lose weight
EQUIPMENT,I only have dumbbells,dumbbells
LEVEL,I am a novice,novice
AGE,I just turned 26,26
EQUIPMENT,Just dumbbells,dumbbells
CONSENT,I would rather not,no
CONSENT,I don't consent,no
CONFIRMATION,Looks good,yes
HEIGHT,159 cm,159
EQUIPMENT,I workout at a full gym,full gym
WEIGHT,244,244
EQUIPMENT,I only have home gym,home gym
WEIGHT,Around 196,196
CONFIRMATION,Go ahead,yes
EQUIPMENT,I workout at a dumbbells,dumbbells
EQUIPMENT,I workout at a home gym,home gym
WEIGHT,231,231
WEIGHT,Around 150,150
CONFIRMATION,Incorrect,no
INJURIES,I have a tennis elbow,tennis elbow
EQUIPMENT,Just resistance bands,resistance bands
GREETING,Let's do it,yes
LEVEL,I am a novice,novice
LEVEL,Just a novice,novice
DAYS,I have 6 days free,6
ALLERGIES,I'm allergic to glutens,gluten
WEIGHT,Around 294,294
ALLERGIES,No allergies,none
EQUIPMENT,resistance bands,resistance bands
CONFIRMATION,Looks good,yes
INJURIES,My shoulder impingement hurts sometimes,shoulder impingement
GREETING,Yes I am,yes
HEIGHT,183 cm,183
CONSENT,I consent,yes
AGE,I am 49,49
GREETING,No,no
AGE,I am 59,59
AGE,I just turned 61,61
AGE,I'm 18,18
CONSENT,Sure,yes
LEVEL,I am a pro,pro
WEIGHT,206 pounds,206
WEIGHT,Around 153,153
LEVEL,pro,pro
AGE,19,19
WEIGHT,159,159
ALLERGIES,I am gluten,gluten
DAYS,4 days,4
EQUIPMENT,I workout at a dumbbells,dumbbells
AGE,I am 19,19
AGE,I'm 17,17
AGE,I'm 37,37
LEVEL,pro,pro
DAYS,I have 5 days free,5
EQUIPMENT,Just kettlebells,kettlebells
INJURIES,I have a bad knee,bad knee
LEVEL,I'd say beginner,beginner
WEIGHT,288,288
GOAL,I want to tone up,tone up
CONFIRMATION,I need to change something,no
GREETING,No,no
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
GREETING,Absolutely,yes
CONFIRMATION,Perfect,yes
GOAL,I want to tone up,tone up
DAYS,I have 3 days free,3
EQUIPMENT,full gym,full gym
CONFIRMATION,I need to change something,no
GREETING,Yes,yes
ALLERGIES,I am lactose intolerant,lactose intolerant
LEVEL,Just a pro,pro
EQUIPMENT,I have access to full gym,full gym
INJURIES,tennis elbow,tennis elbow
HEIGHT,I am 190 centimeters,190
HEIGHT,I am 185 centimeters,185
INJURIES,Dealing with twisted ankle,twisted ankle
EQUIPMENT,Just dumbbells,dumbbells
CONFIRMATION,Generate it,yes
ALLERGIES,peanut,peanut
CONSENT,Okay,yes
GREETING,I'm ready,yes
CONFIRMATION,Looks good,yes
GOAL,I want to get shredded,get shredded
CONSENT,Nope,no
HEIGHT,175,175
WEIGHT,I am 114 lbs,114
EQUIPMENT,I workout at a dumbbells,dumbbells
WEIGHT,184 pounds,184
GREETING,Not ready,no
ALLERGIES,I'm allergic to shellfishs,shellfish
EQUIPMENT,Just full gym,full gym
CONFIRMATION,I need to change something,no
DAYS,I can do 3 days a week,3
DAYS,I have 5 days free,5
EQUIPMENT,I only have dumbbells,dumbbells
INJURIES,Dealing with shoulder impingement,shoulder impingement
GREETING,Ready,yes
ALLERGIES,I am lactose intolerant,lactose intolerant
EQUIPMENT,Just dumbbells,dumbbells
INJURIES,tennis elbow,tennis elbow
HEIGHT,186 cm,186
DAYS,About 5 days,5
AGE,I'm 29,29
WEIGHT,About 104,104
GREETING,Absolutely,yes
WEIGHT,Around 258,258
LEVEL,Just a pro,pro
INJURIES,My bad knee hurts sometimes,bad knee
WEIGHT,About 200,200
CONSENT,Nah,no
GREETING,Not ready,no
CONFIRMATION,Perfect,yes
CONSENT,Nah,no
CONFIRMATION,Looks good,yes
DAYS,I have 6 days free,6
HEIGHT,160,160
CONSENT,Yes you do,yes
CONSENT,Yes you do,yes
GOAL,My goal is to burn fat,burn fat
GOAL,Mainly to get shredded,get shredded
GREETING,Not yet,no
GREETING,Yeah let's go,yes
CONFIRMATION,I need to change something,no
DAYS,3 days,3
EQUIPMENT,I only have full gym,full gym
INJURIES,My twisted ankle hurts sometimes,twisted ankle
EQUIPMENT,Just full gym,full gym
ALLERGIES,I'm allergic to shellfishs,shellfish
GOAL,Looking to endurance,endurance
EQUIPMENT,full gym,full gym
INJURIES,twisted ankle,twisted ankle
AGE,I am 62,62
GOAL,I want to build muscle,build muscle
GOAL,I want to tone up,tone up
GREETING,Not yet,no
INJURIES,My tennis elbow hurts sometimes,tennis elbow
GOAL,I want to burn fat,burn fat
CONSENT,I consent,yes
CONFIRMATION,Looks good,yes
WEIGHT,I weigh 180 lbs,180
AGE,I am 54 years old,54
GOAL,I want to burn fat,burn fat
INJURIES,I have a twisted ankle,twisted ankle
CONSENT,I don't consent,no
HEIGHT,About 159 cm,159
AGE,46,46
LEVEL,Pretty much a beginner,beginner
GOAL,get shredded,get shredded
GOAL,My goal is to get shredded,get shredded
WEIGHT,About 172,172
DAYS,I can do 4 days a week,4
DAYS,About 5 days,5
LEVEL,I am a novice,novice
WEIGHT,246,246
GOAL,I want to burn fat,burn fat
WEIGHT,I weigh 168 lbs,168
LEVEL,I am a intermediate,intermediate
WEIGHT,About 154,154
INJURIES,lower back pain,lower back pain
CONSENT,Yes you do,yes
INJURIES,lower back pain,lower back pain
LEVEL,Pretty much a pro,pro
ALLERGIES,I'm allergic to peanuts,peanut
GREETING,Yes,yes
GREETING,Give me a minute,no
INJURIES,I have a tennis elbow,tennis elbow
LEVEL,Pretty much a novice,novice
CONFIRMATION,Looks correct,yes
AGE,I am 61 years old,61
CONFIRMATION,Yes,yes
GOAL,Looking to get shredded,get shredded
GOAL,Mainly to tone up,tone up
AGE,I'm 18,18
INJURIES,Dealing with bad knee,bad knee
LEVEL,Just a pro,pro
EQUIPMENT,I workout at a resistance bands,resistance bands
INJURIES,Dealing with bad knee,bad knee
EQUIPMENT,I have access to bodyweight,bodyweight
CONFIRMATION,Looks good,yes
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
HEIGHT,About 150 cm,150
HEIGHT,169 cm,169
INJURIES,I have a twisted ankle,twisted ankle
WEIGHT,I am 193 lbs,193
HEIGHT,193 cm,193
ALLERGIES,peanut,peanut
GREETING,Not ready,no
ALLERGIES,I am gluten,gluten
ALLERGIES,I am lactose intolerant,lactose intolerant
INJURIES,Dealing with twisted ankle,twisted ankle
HEIGHT,I am 184 centimeters,184
CONFIRMATION,Perfect,yes
GREETING,Not ready,no
EQUIPMENT,dumbbells,dumbbells
EQUIPMENT,full gym,full gym
HEIGHT,166,166
GREETING,I'm ready,yes
GREETING,No,no
HEIGHT,184 cm,184
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
LEVEL,pro,pro
AGE,I just turned 63,63
CONSENT,Nope,no
AGE,I am 45,45
CONFIRMATION,Incorrect,no
LEVEL,Pretty much a pro,pro
WEIGHT,About 279,279
ALLERGIES,peanut,peanut
GOAL,Mainly to get shredded,get shredded
GREETING,Let's do it,yes
HEIGHT,179,179
HEIGHT,I am 184 centimeters,184
LEVEL,novice,novice
WEIGHT,169,169
HEIGHT,About 194 cm,194
INJURIES,tennis elbow,tennis elbow
WEIGHT,About 183,183
GOAL,I want to burn fat,burn fat
CONSENT,I don't consent,no
WEIGHT,I weigh 239 lbs,239
GOAL,I want to build muscle,build muscle
CONSENT,Nah,no
INJURIES,twisted ankle,twisted ankle
GREETING,Give me a minute,no
DAYS,I can do 6 days a week,6
HEIGHT,192 cm,192
INJURIES,bad knee,bad knee
WEIGHT,I am 268 lbs,268
CONFIRMATION,Looks good,yes
HEIGHT,I am 173 centimeters,173
HEIGHT,About 174 cm,174
ALLERGIES,I'm allergic to peanuts,peanut
AGE,I am 31 years old,31
CONSENT,Go ahead,yes
GREETING,Let's do it,yes
LEVEL,I am a advanced,advanced
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
WEIGHT,About 101,101
EQUIPMENT,I only have dumbbells,dumbbells
EQUIPMENT,I have access to bodyweight,bodyweight
DAYS,3 days,3
GOAL,get shredded,get shredded
CONSENT,Nah,no
INJURIES,I have a shoulder impingement,shoulder impingement
AGE,I'm 33,33
WEIGHT,I am 197 lbs,197
WEIGHT,163 pounds,163
EQUIPMENT,kettlebells,kettlebells
HEIGHT,172,172
GREETING,Yes,yes
CONSENT,Yes,yes
ALLERGIES,shellfish,shellfish
CONSENT,Yes,yes
CONSENT,Nope,no
HEIGHT,161,161
INJURIES,I have a lower back pain,lower back pain
CONFIRMATION,Perfect,yes
ALLERGIES,I am lactose intolerant,lactose intolerant
GOAL,Mainly to get shredded,get shredded
GOAL,lose weight,lose weight
CONFIRMATION,Perfect,yes
EQUIPMENT,resistance bands,resistance bands
GREETING,Let's do it,yes
AGE,I'm 31,31
DAYS,I have 6 days free,6
CONFIRMATION,Looks good,yes
LEVEL,Just a pro,pro
EQUIPMENT,I workout at a resistance bands,resistance bands
INJURIES,twisted ankle,twisted ankle
EQUIPMENT,I only have full gym,full gym
CONSENT,Yes you do,yes
GREETING,I'm ready,yes
LEVEL,Pretty much a novice,novice
LEVEL,intermediate,intermediate
DAYS,I have 6 days free,6
ALLERGIES,Nope,none
HEIGHT,I am 183 centimeters,183
HEIGHT,162 cm,162
EQUIPMENT,kettlebells,kettlebells
AGE,I am 33,33
CONFIRMATION,I need to change something,no
CONFIRMATION,Generate it,yes
GOAL,I want to build muscle,build muscle
GREETING,Give me a minute,no
EQUIPMENT,I have access to full gym,full gym
LEVEL,Just a pro,pro
EQUIPMENT,Just home gym,home gym
LEVEL,I'd say intermediate,intermediate
CONFIRMATION,That is wrong,no
GREETING,Let's do it,yes
GREETING,Give me a minute,no
GREETING,Yes I am,yes
LEVEL,advanced,advanced
GOAL,My goal is to endurance,endurance
ALLERGIES,I am peanut,peanut
HEIGHT,I am 189 centimeters,189
DAYS,I have 5 days free,5
CONFIRMATION,Incorrect,no
LEVEL,I am a intermediate,intermediate
GREETING,Give me a minute,no
CONFIRMATION,That's right,yes
EQUIPMENT,I only have dumbbells,dumbbells
INJURIES,I have a tennis elbow,tennis elbow
LEVEL,I am a beginner,beginner
ALLERGIES,I have a shellfish allergy,shellfish
DAYS,About 4 days,4
HEIGHT,156 cm,156
INJURIES,My twisted ankle hurts sometimes,twisted ankle
GREETING,Give me a minute,no
CONFIRMATION,Incorrect,no
HEIGHT,191,191
GREETING,Absolutely,yes
AGE,I'm 24,24
CONFIRMATION,Go ahead,yes
AGE,51,51
DAYS,I can do 2 days a week,2
CONSENT,Yes,yes
ALLERGIES,I eat everything,none
EQUIPMENT,I only have bodyweight,bodyweight
EQUIPMENT,I only have kettlebells,kettlebells
CONFIRMATION,Looks correct,yes
AGE,I am 44,44
HEIGHT,162 cm,162
CONFIRMATION,No,no
LEVEL,intermediate,intermediate
ALLERGIES,lactose intolerant,lactose intolerant
INJURIES,No injuries,none
CONSENT,Sure,yes
CONFIRMATION,Go ahead,yes
GOAL,My goal is to get shredded,get shredded
LEVEL,I am a advanced,advanced
GOAL,burn fat,burn fat
INJURIES,My tennis elbow hurts sometimes,tennis elbow
ALLERGIES,I'm allergic to lactose intolerants,lactose intolerant
EQUIPMENT,I only have kettlebells,kettlebells
WEIGHT,291 pounds,291
EQUIPMENT,I have access to bodyweight,bodyweight
EQUIPMENT,Just dumbbells,dumbbells
EQUIPMENT,Just home gym,home gym
HEIGHT,161,161
HEIGHT,About 182 cm,182
GOAL,Looking to lose weight,lose weight
LEVEL,Just a novice,novice
EQUIPMENT,I have access to home gym,home gym
CONFIRMATION,That's right,yes
AGE,I am 40,40
ALLERGIES,shellfish,shellfish
ALLERGIES,Nope,none
LEVEL,Just a pro,pro
CONFIRMATION,Incorrect,no
CONSENT,No,no
HEIGHT,I am 173 centimeters,173
AGE,I'm 25,25
GREETING,I'm ready,yes
GOAL,Mainly to burn fat,burn fat
CONFIRMATION,Looks good,yes
LEVEL,Just a pro,pro
HEIGHT,167 cm,167
EQUIPMENT,kettlebells,kettlebells
AGE,63,63
GOAL,Mainly to burn fat,burn fat
INJURIES,No injuries,none
CONFIRMATION,That is wrong,no
WEIGHT,About 276,276
GREETING,Yes I am,yes
LEVEL,I'd say intermediate,intermediate
GOAL,endurance,endurance
HEIGHT,184 cm,184
ALLERGIES,None,none
EQUIPMENT,I workout at a dumbbells,dumbbells
DAYS,I can do 5 days a week,5
HEIGHT,170 cm,170
LEVEL,I'd say novice,novice
HEIGHT,160,160
AGE,48,48
CONFIRMATION,That's right,yes
EQUIPMENT,I workout at a kettlebells,kettlebells
DAYS,About 4 days,4
ALLERGIES,I'm allergic to shellfishs,shellfish
AGE,I just turned 43,43
HEIGHT,190,190
CONFIRMATION,Incorrect,no
DAYS,I can do 4 days a week,4
AGE,I just turned 27,27
GREETING,Yes,yes
CONSENT,Yes you do,yes
DAYS,5 days,5
CONFIRMATION,I need to change something,no
ALLERGIES,I'm allergic to peanuts,peanut
GREETING,Yes I am,yes
CONFIRMATION,Wait,no
INJURIES,Dealing with shoulder impingement,shoulder impingement
LEVEL,Pretty much a advanced,advanced
WEIGHT,I weigh 210 lbs,210
EQUIPMENT,I only have full gym,full gym
HEIGHT,190 cm,190
DAYS,I have 4 days free,4
CONSENT,Nah,no
WEIGHT,197 pounds,197
GREETING,Not yet,no
GREETING,Absolutely,yes
DAYS,About 5 days,5
AGE,I am 55,55
EQUIPMENT,Just bodyweight,bodyweight
EQUIPMENT,I only have resistance bands,resistance bands
HEIGHT,156,156
ALLERGIES,I am lactose intolerant,lactose intolerant
ALLERGIES,I have a peanut allergy,peanut
LEVEL,I'd say novice,novice
EQUIPMENT,dumbbells,dumbbells
EQUIPMENT,I have access to home gym,home gym
CONSENT,Yes,yes
GOAL,endurance,endurance
CONSENT,Yeah that's fine,yes
INJURIES,lower back pain,lower back pain
AGE,I just turned 46,46
DAYS,I can do 5 days a week,5
INJURIES,Dealing with shoulder impingement,shoulder impingement
INJURIES,twisted ankle,twisted ankle
LEVEL,I am a novice,novice
INJURIES,I have a shoulder impingement,shoulder impingement
GREETING,Nah,no
ALLERGIES,gluten,gluten
INJURIES,My tennis elbow hurts sometimes,tennis elbow
WEIGHT,About 271,271
LEVEL,Pretty much a novice,novice
HEIGHT,151,151
AGE,I am 24 years old,24
AGE,I just turned 16,16
CONSENT,I would rather not,no
EQUIPMENT,I have access to full gym,full gym
CONFIRMATION,No,no
INJURIES,No injuries,none
CONFIRMATION,No,no
LEVEL,I am a novice,novice
AGE,I'm 24,24
ALLERGIES,I have a peanut allergy,peanut
LEVEL,I am a pro,pro
EQUIPMENT,Just home gym,home gym
CONSENT,Go ahead,yes
CONSENT,I would rather not,no
HEIGHT,160 cm,160
DAYS,About 4 days,4
HEIGHT,About 166 cm,166
AGE,I am 44,44
HEIGHT,185 cm,185
WEIGHT,I weigh 220 lbs,220
ALLERGIES,I'm allergic to shellfishs,shellfish
GOAL,I want to tone up,tone up
WEIGHT,136,136
WEIGHT,Around 235,235
AGE,I am 44,44
GOAL,build muscle,build muscle
EQUIPMENT,I only have bodyweight,bodyweight
CONFIRMATION,No,no
GOAL,Mainly to build muscle,build muscle
CONFIRMATION,Perfect,yes
WEIGHT,About 122,122
AGE,I am 41 years old,41
AGE,I just turned 60,60
EQUIPMENT,Just bodyweight,bodyweight
INJURIES,I have a shoulder impingement,shoulder impingement
AGE,I am 18,18
INJURIES,Dealing with bad knee,bad knee
DAYS,About 3 days,3
LEVEL,advanced,advanced
ALLERGIES,I am gluten,gluten
DAYS,3 days,3
CONSENT,Yeah that's fine,yes
WEIGHT,241,241
CONSENT,Nope,no
LEVEL,Just a novice,novice
GREETING,Nah,no
GOAL,get shredded,get shredded
WEIGHT,I am 294 lbs,294
ALLERGIES,I'm allergic to peanuts,peanut
CONFIRMATION,Looks correct,yes
EQUIPMENT,Just bodyweight,bodyweight
INJURIES,shoulder impingement,shoulder impingement
INJURIES,Dealing with bad knee,bad knee
DAYS,3 days,3
HEIGHT,177 cm,177
CONFIRMATION,Looks good,yes
GREETING,Nah,no
INJURIES,Dealing with tennis elbow,tennis elbow
INJURIES,bad knee,bad knee
EQUIPMENT,I workout at a home gym,home gym
LEVEL,I'd say beginner,beginner
HEIGHT,I am 175 centimeters,175
LEVEL,Pretty much a beginner,beginner
WEIGHT,About 115,115
EQUIPMENT,I have access to kettlebells,kettlebells
CONSENT,Go ahead,yes
GOAL,My goal is to burn fat,burn fat
DAYS,I can do 2 days a week,2
DAYS,2 days,2
DAYS,I can do 6 days a week,6
DAYS,About 4 days,4
LEVEL,I'd say advanced,advanced
INJURIES,bad knee,bad knee
HEIGHT,173 cm,173
LEVEL,Just a intermediate,intermediate
EQUIPMENT,home gym,home gym
INJURIES,Dealing with shoulder impingement,shoulder impingement
WEIGHT,222,222
CONSENT,No,no
INJURIES,Dealing with bad knee,bad knee
AGE,I'm 25,25
WEIGHT,I weigh 200 lbs,200
INJURIES,Dealing with twisted ankle,twisted ankle
HEIGHT,I am 152 centimeters,152
LEVEL,Just a novice,novice
ALLERGIES,I have a shellfish allergy,shellfish
LEVEL,Just a novice,novice
LEVEL,Just a advanced,advanced
AGE,I'm 31,31
CONSENT,I would rather not,no
CONFIRMATION,I need to change something,no
AGE,I am 43,43
INJURIES,My tennis elbow hurts sometimes,tennis elbow
DAYS,I can do 4 days a week,4
AGE,I am 60 years old,60
DAYS,2,2
DAYS,About 3 days,3
DAYS,I can do 3 days a week,3
CONFIRMATION,I need to change something,no
HEIGHT,I am 161 centimeters,161
ALLERGIES,I'm allergic to shellfishs,shellfish
CONSENT,Nope,no
EQUIPMENT,I only have full gym,full gym
DAYS,About 3 days,3
CONSENT,Go ahead,yes
AGE,I just turned 17,17
CONFIRMATION,Wait,no
INJURIES,My tennis elbow hurts sometimes,tennis elbow
LEVEL,beginner,beginner
AGE,I'm 60,60
HEIGHT,191 cm,191
CONSENT,Okay,yes
GREETING,I'm ready,yes
EQUIPMENT,Just kettlebells,kettlebells
ALLERGIES,No allergies,none
EQUIPMENT,Just home gym,home gym
GREETING,Ready,yes
LEVEL,Pretty much a novice,novice
HEIGHT,184,184
WEIGHT,About 288,288
DAYS,6 days,6
HEIGHT,I am 188 centimeters,188
GOAL,Mainly to endurance,endurance
INJURIES,lower back pain,lower back pain
INJURIES,Dealing with tennis elbow,tennis elbow
CONFIRMATION,That's right,yes
GOAL,get shredded,get shredded
AGE,39,39
EQUIPMENT,I have access to bodyweight,bodyweight
CONSENT,Nah,no
GREETING,Let's do it,yes
WEIGHT,Around 223,223
GOAL,My goal is to tone up,tone up
CONSENT,No,no
HEIGHT,173,173
GREETING,Yes I am,yes
GOAL,Looking to endurance,endurance
GOAL,burn fat,burn fat
CONSENT,I don't consent,no
INJURIES,I have a twisted ankle,twisted ankle
CONSENT,I would rather not,no
DAYS,I have 4 days free,4
DAYS,I have 5 days free,5
WEIGHT,166 pounds,166
WEIGHT,I weigh 199 lbs,199
GREETING,I'm ready,yes
ALLERGIES,I am gluten,gluten
CONFIRMATION,No,no
GOAL,Mainly to burn fat,burn fat
GREETING,No,no
DAYS,I have 4 days free,4
AGE,18,18
WEIGHT,211,211
AGE,I'm 54,54
DAYS,6 days,6
LEVEL,I am a pro,pro
GREETING,Absolutely,yes
GOAL,My goal is to burn fat,burn fat
CONSENT,Nah,no
AGE,44,44
CONFIRMATION,Perfect,yes
HEIGHT,I am 155 centimeters,155
GREETING,Give me a minute,no
AGE,I am 34,34
AGE,I am 23,23
GOAL,Looking to burn fat,burn fat
WEIGHT,I am 255 lbs,255
LEVEL,I'd say intermediate,intermediate
LEVEL,I am a novice,novice
GREETING,Not ready,no
GREETING,Nah,no
INJURIES,Dealing with lower back pain,lower back pain
INJURIES,I have a shoulder impingement,shoulder impingement
GREETING,No,no
GREETING,Give me a minute,no
GREETING,Nah,no
EQUIPMENT,full gym,full gym
ALLERGIES,Nope,none
GREETING,Yeah let's go,yes
AGE,38,38
LEVEL,I am a novice,novice
CONFIRMATION,That is wrong,no
HEIGHT,About 187 cm,187
WEIGHT,I weigh 155 lbs,155
CONSENT,Nope,no
GOAL,I want to tone up,tone up
DAYS,I can do 2 days a week,2
GREETING,Not ready,no
GOAL,I want to build muscle,build muscle
DAYS,I can do 3 days a week,3
LEVEL,Pretty much a pro,pro
AGE,I'm 21,21
HEIGHT,183,183
EQUIPMENT,I only have kettlebells,kettlebells
GREETING,Yes,yes
INJURIES,I'm perfectly healthy,none
INJURIES,Dealing with tennis elbow,tennis elbow
DAYS,About 2 days,2
GREETING,Give me a minute,no
GREETING,I'm ready,yes
AGE,21,21
EQUIPMENT,I have access to resistance bands,resistance bands
GOAL,build muscle,build muscle
CONFIRMATION,Perfect,yes
GREETING,Nah,no
HEIGHT,About 155 cm,155
GREETING,Let's do it,yes
CONFIRMATION,Looks good,yes
HEIGHT,About 186 cm,186
AGE,36,36
HEIGHT,I am 183 centimeters,183
GREETING,Yeah let's go,yes
GREETING,No,no
INJURIES,Nope,none
GREETING,Give me a minute,no
ALLERGIES,shellfish,shellfish
DAYS,I have 5 days free,5
CONFIRMATION,I need to change something,no
WEIGHT,Around 158,158
LEVEL,Pretty much a novice,novice
AGE,27,27
ALLERGIES,I have a gluten allergy,gluten
ALLERGIES,I have a peanut allergy,peanut
INJURIES,Dealing with bad knee,bad knee
LEVEL,Just a pro,pro
INJURIES,lower back pain,lower back pain
CONFIRMATION,Go ahead,yes
INJURIES,bad knee,bad knee
ALLERGIES,I am lactose intolerant,lactose intolerant
AGE,22,22
GREETING,No,no
CONSENT,Nah,no
AGE,I'm 39,39
AGE,I am 33,33
EQUIPMENT,I workout at a home gym,home gym
AGE,I am 18 years old,18
LEVEL,I'd say advanced,advanced
EQUIPMENT,Just kettlebells,kettlebells
CONSENT,Yes,yes
HEIGHT,About 169 cm,169
GREETING,Absolutely,yes
EQUIPMENT,full gym,full gym
CONFIRMATION,Looks correct,yes
HEIGHT,173,173
EQUIPMENT,home gym,home gym
ALLERGIES,I have a gluten allergy,gluten
GREETING,Yeah let's go,yes
LEVEL,Just a pro,pro
LEVEL,I'd say intermediate,intermediate
INJURIES,I have a twisted ankle,twisted ankle
INJURIES,Dealing with twisted ankle,twisted ankle
LEVEL,I'd say intermediate,intermediate
WEIGHT,I weigh 287 lbs,287
LEVEL,Just a beginner,beginner
DAYS,I can do 2 days a week,2
GREETING,Give me a minute,no
AGE,I am 58,58
CONFIRMATION,I need to change something,no
EQUIPMENT,Just full gym,full gym
ALLERGIES,No allergies,none
LEVEL,I'd say advanced,advanced
LEVEL,Pretty much a pro,pro
WEIGHT,About 193,193
LEVEL,I'd say intermediate,intermediate
DAYS,About 4 days,4
WEIGHT,192,192
GOAL,Looking to burn fat,burn fat
CONFIRMATION,That's right,yes
ALLERGIES,I have a gluten allergy,gluten
CONFIRMATION,That is wrong,no
LEVEL,I'd say beginner,beginner
INJURIES,lower back pain,lower back pain
EQUIPMENT,I have access to full gym,full gym
INJURIES,I'm perfectly healthy,none
EQUIPMENT,Just dumbbells,dumbbells
GREETING,Let's do it,yes
AGE,I am 40,40
DAYS,I have 4 days free,4
DAYS,About 4 days,4
AGE,32,32
EQUIPMENT,I have access to dumbbells,dumbbells
EQUIPMENT,I only have home gym,home gym
ALLERGIES,shellfish,shellfish
INJURIES,No injuries,none
ALLERGIES,shellfish,shellfish
WEIGHT,I weigh 191 lbs,191
GREETING,Not ready,no
CONFIRMATION,Wait,no
GOAL,Looking to endurance,endurance
LEVEL,Pretty much a pro,pro
GOAL,Mainly to burn fat,burn fat
GOAL,Mainly to tone up,tone up
GOAL,I want to build muscle,build muscle
GOAL,lose weight,lose weight
CONSENT,Go ahead,yes
HEIGHT,162 cm,162
DAYS,I have 6 days free,6
WEIGHT,I weigh 292 lbs,292
ALLERGIES,No allergies,none
EQUIPMENT,I workout at a resistance bands,resistance bands
GOAL,I want to get shredded,get shredded
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
LEVEL,Pretty much a novice,novice
EQUIPMENT,I only have full gym,full gym
EQUIPMENT,I workout at a dumbbells,dumbbells
ALLERGIES,I am shellfish,shellfish
DAYS,4,4
HEIGHT,177,177
CONFIRMATION,Looks correct,yes
GREETING,No,no
AGE,18,18
GOAL,Looking to build muscle,build muscle
HEIGHT,163,163
DAYS,I can do 6 days a week,6
EQUIPMENT,Just bodyweight,bodyweight
CONFIRMATION,Perfect,yes
EQUIPMENT,I have access to dumbbells,dumbbells
CONSENT,Okay,yes
ALLERGIES,None,none
DAYS,I can do 5 days a week,5
EQUIPMENT,I only have kettlebells,kettlebells
EQUIPMENT,I have access to home gym,home gym
CONSENT,Nah,no
INJURIES,twisted ankle,twisted ankle
CONFIRMATION,Looks good,yes
CONFIRMATION,I need to change something,no
GREETING,Not yet,no
GREETING,Yes I am,yes
